dt,N2O_ppb,d15Nbulk_permil,SP_permil,d18O_permil,sd_N2O_ppb,sd_d15Nbulk_permil,sd_SP_permil,sd_d18O_permil,n_N2O_ppb,n_d15Nbulk_permil,n_SP_permil,n_d18O_permil
1958.0,293.56474651302835,8.84605497970007,20.867157428188754,45.166666666666664,1.8982098637673832,0.4056069508065248,1.1111111111111112,0.14907119849998546,4.0,3.0,1.0,2.0
1960.0,290.2751097500967,,,,0.5248902499033079,inf,2.0,inf,2.0,,,
1962.0,293.08821901483435,,,,2.444048718090793,inf,2.0,inf,4.0,,,
1964.0,294.96867637723756,9.013806282195809,16.997654154224676,45.14117647058824,1.5844605615410703,0.02167904601362701,0.4484204307768624,0.09112901991076404,5.0,2.0,3.0,3.0
1966.0,294.3018411104614,8.784574262514365,,45.3,0.8410802233144686,10.0,2.0,5.0,5.0,1.0,,1.0
1968.0,292.06681300012895,8.784574262514365,,,3.1146740689379064,2.5,2.0,inf,3.0,1.0,,
1970.0,295.7773329875459,8.602771403073664,18.205980984545892,44.925196850393704,1.420615940262234,0.17974399795826648,0.973058857377522,0.1631233067909882,7.0,6.0,4.0,5.0
1972.0,298.1922420690273,8.584574262514364,18.567157428188754,44.9,2.213176487296022,10.0,0.4,inf,4.0,1.0,1.0,1.0
1974.0,298.09462766822014,,17.587157428188753,45.13125,0.3629122435925292,inf,0.34292856398964455,0.0726184377413901,6.0,6.0,2.0,5.0
1976.0,,,17.167157428188755,45.1,5.779409779184308,inf,1.6666666666666667,inf,4.0,4.0,1.0,1.0
1978.0,300.6958638415901,8.268544789654527,17.672862460274935,45.0477699704142,1.8342505322278082,0.17639446230961658,0.9129369449491783,0.17297990114118866,28.0,9.0,6.0,7.0
1980.0,,8.451240929181031,17.638585999617327,45.1,5.779409779184308,0.09428090415820602,0.271052370871576,0.0,27.0,2.0,2.0,2.0
1982.0,303.1428800898039,,17.574297972022087,44.72845303867403,0.7333899088950055,inf,0.3938149597149158,0.16345656578922144,57.0,7.0,4.0,5.0
1984.0,,8.11950358466032,17.725626414626984,44.88318965517241,5.779409779184308,0.08083081905725821,0.9199228936945368,0.13957200056336636,50.0,8.0,5.0,8.0
1986.0,305.21144673640805,7.888651056409236,17.864248809605368,44.77108464267613,0.9112857530349295,0.22273889296824073,0.7333296628017305,0.1264267362846114,35.0,12.0,8.0,9.0
1988.0,307.0393747502694,7.805910536996768,17.73449673462843,44.636859252823626,0.9034444511813218,0.203406867175393,0.6819332460050116,0.26148230998527777,38.0,11.0,7.0,11.0
1990.0,,,17.906866991667865,44.658432907043334,5.779409779184308,inf,0.5712907258791474,0.24106148245124684,51.0,24.0,20.0,24.0
1992.0,309.7595579951942,7.84011268989362,17.788759815174224,44.65160427807487,0.28112165326030475,0.11290079158360934,0.5923739370049999,0.17587852389892233,41.0,11.0,6.0,11.0
1994.0,310.75973944531614,7.680852499542515,18.124163410306824,44.56779114533205,0.7227946707102578,0.2744920737963354,0.7699367050170512,0.17384649147526038,56.0,21.0,15.0,21.0
1996.0,312.2938203834558,,,,0.8070339662544034,inf,2.0,inf,55.0,32.0,24.0,32.0
1998.0,,,18.05197595700478,44.619572094371065,5.779409779184308,inf,0.48885198428918386,0.15722072207355844,49.0,26.0,16.0,25.0
2000.0,315.8224793189951,,,,0.7938254092481415,inf,2.0,inf,43.0,21.0,10.0,21.0
2002.0,316.8245175434069,,17.45262773316147,44.59871794871795,0.5549744008143433,inf,0.7552557411567756,0.14769764947604655,36.0,11.0,11.0,11.0
2004.0,318.8990004253997,,,,0.835109506640839,inf,2.0,inf,348.0,11.0,10.0,10.0
2006.0,319.99217570264904,7.520313096228583,17.901972788585223,,0.5393224974685624,0.37506143704051087,0.27595028731292814,inf,560.0,7.0,6.0,7.0
2008.0,322.3926408468898,,17.961410588037197,44.4445158329509,0.5872697426380735,inf,0.2055550446293539,0.15241962229051967,732.0,5.0,6.0,7.0
2010.0,324.34276584263654,7.107958931487866,18.017102804675606,44.391178895300904,0.7638852186990112,0.06906908688209977,0.3982221553647334,0.12434698075884837,749.0,6.0,6.0,6.0
2012.0,326.24043397631016,7.155138428778463,18.15817488289857,44.49491525423729,0.7308869830723741,0.06814639284016491,0.09537757189726843,0.1126321879717721,715.0,4.0,4.0,4.0
2014.0,328.4306217952513,6.839041648429416,,,0.746024153727398,0.19082758525436885,2.0,inf,452.0,100.0,100.0,100.0
2016.0,329.6436593542887,,17.672784555956166,44.45939494473505,1.0473334241139867,inf,0.5025619990157091,0.12669156723439612,56.0,32.0,32.0,32.0
2018.0,331.33750298375077,6.574448052584363,17.877406945555112,44.310801759996885,0.5476412395577556,0.13316545279727846,0.18976730512875986,0.1901007888767149,35.0,26.0,26.0,26.0
2020.0,,,,,5.779409779184308,inf,2.0,inf,,,,
