Age,Name,Archive,N2O_ppb,sd_N2O_ppb,d15Nbulk_permil,sd_d15Nbulk_permil,SP_permil,sd_SP_permil,d18O_permil,sd_d18O_permil
2005,NEEM09,firn air,318.9,1.5,6.9,0.1,18.3,0.2,44.5,0.2
2006,NEEM09,firn air,320.1,1.5,6.8,0.1,17.9,0.4,44.4,0.2
2007,NEEM09,firn air,321.5,1.5,6.8,0.1,18.0,0.4,44.3,0.2
2008,NEEM09,firn air,321.8,1.5,6.7,0.1,18.8,0.3,44.4,0.2
2009,NEEM09,firn air,323.1,1.5,,,,,,
2010,NEEM09,firn air,,,6.7,0.1,18.9,0.3,44.3,0.2
1941,NGRIP 1,firn air,289.2,1.0,8.8,0.1,,,45.4,0.2
1956,NGRIP 1,firn air,291.0,1.0,8.6,0.1,,,45.3,0.2
1967,NGRIP 1,firn air,293.0,1.0,8.3,0.1,,,45.3,0.2
1971,NGRIP 1,firn air,295.9,1.0,8.0,0.1,,,45.0,0.2
1975,NGRIP 1,firn air,297.6,1.0,8.1,0.1,,,45.0,0.2
1978,NGRIP 1,firn air,299.8,1.0,7.9,0.1,,,44.8,0.2
1982,NGRIP 1,firn air,302.0,1.0,,,,,,
1985,NGRIP 1,firn air,304.6,1.0,7.5,0.1,,,44.8,0.2
1988,NGRIP 1,firn air,306.5,1.0,7.5,0.1,,,44.8,0.2
1991,NGRIP 1,firn air,309.1,1.0,7.1,0.1,,,44.4,0.2
1993,NGRIP 1,firn air,309.9,1.0,7.2,0.1,,,44.7,0.2
1995,NGRIP 1,firn air,311.2,1.0,7.2,0.1,,,44.5,0.2
1996,NGRIP 1,firn air,311.7,1.0,7.3,0.1,,,44.5,0.2
1997,NGRIP 1,firn air,312.2,1.0,7.1,0.1,,,44.5,0.2
1997,NGRIP 1,firn air,312.9,1.0,7.2,0.1,,,44.6,0.2
1998,NGRIP 1,firn air,312.6,1.0,7.1,0.1,,,44.7,0.2
1998,NGRIP 1,firn air,313.6,1.0,7.1,0.1,,,44.7,0.2
1998,NGRIP 1,firn air,313.7,1.0,7.2,0.1,,,44.5,0.2
1999,NGRIP 1,firn air,314.2,1.0,7.0,0.1,,,44.3,0.2
1999,NGRIP 1,firn air,314.6,1.0,7.2,0.1,,,44.6,0.2
2000,NGRIP 1,firn air,314.7,1.0,6.9,0.1,,,44.5,0.2
2000,NGRIP 1,firn air,314.9,1.0,6.9,0.1,,,44.4,0.2
2000,NGRIP 1,firn air,314.8,1.0,7.1,0.1,,,44.8,0.2
2000,NGRIP 1,firn air,315.2,1.0,6.9,0.1,,,44.2,0.2
2001,NGRIP 1,firn air,315.3,1.0,7.0,0.1,,,44.6,0.2
2001,NGRIP 1,firn air,315.7,1.0,7.0,0.1,,,44.4,0.2
