FID,ID,X,Y,RASTERVALU
95,298,-170.750000000000000,65.750000000000000,-9999.000000000000000
96,310,-170.250000000000000,66.250000000000000,2.252239940000000
97,311,-170.250000000000000,63.250000000000000,-9999.000000000000000
98,323,-169.750000000000000,63.250000000000000,-9999.000000000000000
99,335,-169.250000000000000,63.250000000000000,-9999.000000000000000
100,347,-168.750000000000000,63.250000000000000,-9999.000000000000000
101,380,-167.250000000000000,65.750000000000000,2.972359900000000
102,391,-166.750000000000000,65.750000000000000,2.942680120000000
103,392,-166.750000000000000,60.250000000000000,3.751519920000000
104,393,-166.750000000000000,53.750000000000000,3.377360110000000
105,404,-166.250000000000000,65.750000000000000,2.810719970000000
106,405,-166.250000000000000,65.250000000000000,3.220360040000000
107,406,-166.250000000000000,64.750000000000000,-9999.000000000000000
